Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Severe
81,72,12,10,2,0,0,0,18,108,56,27,3,1,31
4,5,0,7,0,0,0,0,3,17,2,0,0,0,0
3,19,0,2,0,0,0,0,4,22,4,1,1,0,2
1,7,0,2,0,0,0,0,0,8,2,0,0,0,0
4,28,1,5,1,0,0,0,3,28,6,8,0,0,8
14,62,1,2,1,1,0,0,6,41,32,11,3,0,14
1,16,0,2,0,0,1,0,3,18,4,0,0,1,1
6,4,0,1,0,0,0,0,4,10,2,2,1,0,3
42,61,4,7,1,1,0,0,9,60,35,22,6,2,30
9,15,0,2,0,1,0,0,7,21,3,6,3,1,10
31,26,3,5,0,0,1,0,9,43,14,14,3,1,18
58,45,4,13,1,0,0,0,11,87,28,14,2,1,17
17,2,0,3,0,1,0,0,8,21,7,3,0,0,3
16,4,0,4,1,0,1,0,11,22,8,5,2,0,7
4,26,2,8,1,2,0,0,15,33,17,4,4,0,8
10,6,3,1,0,0,0,0,0,13,5,2,0,0,2
3,6,1,2,1,0,0,0,1,10,1,2,1,0,3
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
