Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Severe
1,1,0,2,0,0,0,0,12,10,4,0,2,0,2
0,0,0,1,3,0,0,0,12,11,2,1,1,1,3
0,4,1,1,1,0,0,0,12,9,2,5,3,0,8
0,2,0,0,0,0,0,0,1,2,1,0,0,0,0
1,4,0,0,0,0,0,0,2,5,1,1,0,0,1
0,1,0,0,0,0,0,0,2,2,0,1,0,0,1
0,1,0,0,0,0,0,0,8,9,0,0,0,0,0
0,0,1,1,1,0,0,0,68,54,8,5,3,1,9
0,1,0,0,0,0,0,0,8,6,3,0,0,0,0
1,0,0,2,0,1,0,0,1,2,1,2,0,0,2
1,5,0,3,0,4,0,0,12,19,2,4,0,0,4
0,0,0,0,1,2,0,0,0,3,0,0,0,0,0
0,5,0,0,0,1,0,0,6,10,2,0,0,0,0
2,16,3,4,0,10,1,0,22,54,3,1,0,0,1
2,5,0,3,0,0,0,0,86,85,6,2,2,1,5
1,0,0,0,0,0,0,0,11,7,2,1,2,0,3
0,0,0,2,0,0,0,0,5,5,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,19,21,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,8,9,0,1,0,0,1
2,1,0,0,0,0,0,0,5,7,1,0,0,0,0
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
1,2,1,0,0,0,0,0,21,17,5,2,1,0,3
1,1,1,0,0,0,0,0,17,16,2,1,1,0,2
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,0,0,3,4,0,0,0,0,0
0,1,0,0,0,0,0,0,15,13,2,1,0,0,1
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
6,1,0,1,0,1,1,0,2,10,2,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,13,11,1,1,0,0,1
2,0,0,0,0,0,0,0,4,5,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,3,4,0,0,0,0,0
1,8,0,0,1,0,0,0,37,35,11,0,1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,2,0,1,0,2,1,0,5,10,2,0,0,0,0
0,0,0,1,0,1,0,0,4,5,0,1,0,0,1
0,0,0,0,0,0,0,0,11,11,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
2,0,0,0,1,0,0,0,6,9,0,0,0,0,0
1,2,0,0,1,0,0,0,34,24,4,9,1,0,10
1,0,0,0,0,0,0,0,5,5,1,0,0,0,0
0,0,0,0,1,0,0,0,4,5,0,0,0,0,0
0,1,0,1,1,1,0,0,10,10,2,2,0,0,2
0,0,0,1,0,0,0,0,12,11,2,0,0,0,0
3,0,2,0,0,0,0,0,2,3,1,2,1,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
4,16,0,3,2,0,0,0,20,33,7,4,0,1,5
0,3,0,0,0,2,0,0,4,7,1,1,0,0,1
7,3,0,1,1,1,0,0,1,11,2,1,0,0,1
2,7,0,0,0,0,0,0,3,9,1,2,0,0,2
4,12,0,2,0,1,0,0,8,20,6,0,1,0,1
14,1,0,4,0,0,0,0,1,16,3,1,0,0,1
1,5,0,1,0,0,0,0,0,5,2,0,0,0,0
1,0,1,0,0,0,0,0,3,2,1,1,1,0,2
0,0,1,0,0,0,0,0,8,5,1,2,1,0,3
4,0,0,1,0,0,0,0,4,9,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
1,0,0,1,0,0,0,0,2,4,0,0,0,0,0
1,0,0,1,0,0,0,0,2,4,0,0,0,0,0
1,3,0,1,0,1,0,0,5,10,0,1,0,0,1
0,5,0,0,1,0,0,0,11,10,3,1,3,0,4
0,1,0,0,0,0,0,0,7,8,0,0,0,0,0
2,3,0,4,0,0,1,0,27,23,6,5,3,0,8
1,0,0,0,0,0,0,0,3,3,0,1,0,0,1
2,1,0,1,0,0,0,1,4,7,0,2,0,0,2
0,0,0,2,0,0,0,0,11,8,1,2,2,0,4
1,1,0,0,0,0,0,0,10,12,0,0,0,0,0
0,1,0,0,0,1,0,0,18,15,0,2,2,1,5
1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,37,35,3,0,1,0,1
0,1,0,0,1,0,0,0,1,3,0,0,0,0,0
0,0,0,0,1,0,0,0,5,5,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,13,10,0,0,3,1,4
0,0,1,0,1,0,0,0,9,2,1,4,4,0,8
0,1,0,0,0,0,0,0,18,13,0,6,0,0,6
0,1,0,0,0,0,0,0,2,2,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,1,0,0,0,8,7,0,1,0,1,2
0,0,0,0,0,0,0,0,3,2,1,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,3,0,1,4
0,2,0,0,0,0,0,0,6,2,1,3,2,0,5
0,0,0,0,0,0,0,0,6,5,0,0,0,1,1
0,0,1,0,0,0,0,0,2,1,0,0,1,1,2
0,0,0,0,0,0,0,0,5,1,0,3,1,0,4
0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,7,6,0,0,1,0,1
1,0,0,0,0,0,0,0,32,19,2,4,7,1,12
0,0,0,0,0,0,0,0,6,4,0,1,1,0,2
1,0,0,0,1,0,0,0,7,3,3,2,1,0,3
0,0,0,1,1,0,0,0,4,5,1,0,0,0,0
0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
0,0,0,0,0,0,0,0,12,8,2,2,0,0,2
41,32,1,14,1,4,0,0,14,73,18,15,1,0,16
12,5,2,2,0,0,0,0,1,15,6,1,0,0,1
9,13,1,4,0,7,0,0,3,33,1,3,0,0,3
10,13,0,2,0,1,0,0,4,24,3,2,1,0,3
3,0,0,0,0,0,0,0,2,2,1,2,0,0,2
5,1,0,1,0,0,0,0,3,6,3,1,0,0,1
4,0,0,2,1,0,0,0,1,6,2,0,0,0,0
1,0,0,0,0,0,0,0,7,5,1,2,0,0,2
1,2,0,0,0,0,0,0,11,13,1,0,0,0,0
2,1,0,0,0,0,0,0,1,4,0,0,0,0,0
7,2,0,2,0,0,0,0,3,8,4,2,0,0,2
2,0,0,1,1,0,0,0,2,5,0,0,1,0,1
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
0,0,0,1,0,0,0,0,2,2,0,1,0,0,1
2,4,1,2,0,0,0,0,4,7,2,1,2,1,4
0,7,0,3,0,0,0,0,5,13,2,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2,1,0,0,0,0,0,0,4,5,0,2,0,0,2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,4,4,1,1,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,2,0,0,1,0,0,0,0,1,0,2,0,0,2
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
5,5,1,1,1,0,0,0,7,13,2,4,1,0,5
6,2,0,2,2,0,0,0,0,5,4,2,1,0,3
3,5,1,0,0,0,0,1,5,7,4,3,0,1,4
2,5,0,0,1,0,0,0,4,9,2,1,0,0,1
3,5,0,2,4,1,0,0,2,12,4,1,0,0,1
1,4,0,0,0,0,0,0,8,9,2,2,0,0,2
1,1,0,0,0,0,0,0,6,6,0,1,0,1,2
2,1,0,1,0,1,0,0,3,6,1,1,0,0,1
5,2,0,1,1,2,0,0,10,15,4,2,0,0,2
1,0,0,0,0,0,0,0,3,2,0,2,0,0,2
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,1,2,2,0,3,0,0,2,13,4,2,0,0,2
2,3,0,0,0,0,0,0,1,3,3,0,0,0,0
0,0,0,0,0,1,0,0,2,1,0,2,0,0,2
0,0,0,0,1,0,0,0,9,8,2,0,0,0,0
0,0,0,0,0,1,0,0,13,9,2,3,0,0,3
1,5,0,1,2,0,0,0,40,33,6,6,3,1,10
0,5,2,0,2,1,0,0,47,37,7,5,8,0,13
0,1,0,0,0,0,0,0,4,4,1,0,0,0,0
1,3,1,1,3,3,0,0,36,31,7,7,2,1,10
4,4,2,0,1,0,0,0,82,70,8,8,5,2,15
0,1,0,2,0,0,0,0,2,5,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
0,1,0,2,0,0,0,0,0,3,0,0,0,0,0
0,1,0,4,0,0,0,0,3,7,0,1,0,0,1
0,0,0,1,0,0,0,0,6,7,0,0,0,0,0
0,15,0,13,0,0,0,0,18,36,3,5,1,1,7
0,3,0,6,0,0,0,0,17,24,2,0,0,0,0
0,9,0,9,0,2,0,0,32,41,7,2,1,1,4
0,1,0,0,0,0,0,0,2,2,0,1,0,0,1
0,3,0,0,0,0,0,0,7,8,0,2,0,0,2
0,1,0,1,0,0,0,0,3,3,2,0,0,0,0
0,11,1,6,0,0,0,0,19,29,3,2,3,0,5
0,3,0,2,0,0,0,0,7,7,2,2,1,0,3
0,12,0,9,0,0,0,0,22,35,3,4,1,0,5
0,7,0,14,0,1,0,0,7,21,3,4,1,0,5
0,0,0,1,0,0,0,0,5,2,1,3,0,0,3
0,5,0,5,0,1,0,0,29,26,5,7,2,0,9
0,1,0,1,0,0,0,0,7,7,1,1,0,0,1
1,3,0,5,0,0,0,0,29,26,6,5,1,0,6
0,10,0,6,0,0,0,0,39,43,6,5,1,0,6
0,1,0,0,0,0,0,0,8,6,2,1,0,0,1
0,9,0,4,0,0,0,0,45,38,8,8,4,0,12
4,20,0,13,0,0,0,0,101,97,15,22,2,2,26
0,6,0,2,0,0,0,0,44,37,8,4,3,0,7
2,15,0,13,0,1,0,0,130,125,15,11,7,3,21
0,5,0,10,0,0,0,0,61,51,13,9,2,1,12
0,0,0,1,0,0,0,0,6,7,0,0,0,0,0
0,1,0,5,0,0,0,0,21,22,2,3,0,0,3
0,4,0,9,0,1,0,0,45,48,5,6,0,0,6
0,0,0,0,1,0,0,0,2,2,1,0,0,0,0
1,4,0,3,0,0,0,0,27,26,5,4,0,0,4
0,7,1,2,1,0,0,0,74,69,10,6,0,0,6
0,3,0,1,0,0,0,0,22,24,2,0,0,0,0
2,15,0,7,0,1,0,0,79,73,13,12,6,0,18
3,4,0,3,0,0,0,0,11,14,3,2,2,0,4
1,6,0,5,0,2,0,0,36,43,2,4,1,0,5
0,1,0,6,0,1,0,0,30,25,7,4,2,0,6
0,3,1,2,0,0,0,0,13,13,2,2,1,1,4
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
3,28,0,9,0,4,0,0,71,87,11,15,2,0,17
0,6,0,9,0,1,0,1,58,54,6,11,4,0,15
1,16,0,10,0,0,0,0,38,48,7,6,3,1,10
0,1,0,4,0,0,0,0,19,18,3,2,1,0,3
0,8,0,3,0,0,0,0,34,37,3,3,2,0,5
0,2,0,0,0,0,0,0,8,8,2,0,0,0,0
0,5,0,3,0,2,0,0,35,35,6,3,1,0,4
0,3,0,3,0,0,0,0,25,23,4,3,1,0,4
1,6,1,8,1,0,0,0,53,56,5,5,2,2,9
1,6,0,6,0,0,0,0,74,59,11,12,4,1,17
0,5,0,15,0,0,0,0,72,69,7,12,1,3,16
1,8,0,5,0,0,0,0,31,32,2,9,2,0,11
3,13,0,8,0,0,0,0,59,68,8,5,2,0,7
1,4,0,0,0,0,0,0,19,16,6,1,0,1,2
2,4,0,9,0,2,0,0,70,57,10,14,5,1,20
0,0,0,2,0,1,0,0,16,19,0,0,0,0,0
0,3,0,5,0,0,0,0,21,22,5,2,0,0,2
0,10,0,5,0,1,0,0,26,35,4,1,2,0,3
1,5,0,7,0,2,0,0,58,58,7,5,3,0,8
0,5,0,5,0,1,0,0,34,38,3,0,3,1,4
0,1,0,2,0,0,0,0,20,17,3,2,0,1,3
0,1,1,0,0,0,0,0,8,8,2,0,0,0,0
3,5,0,3,1,0,0,0,35,33,9,4,0,1,5
0,6,0,5,1,0,0,0,19,20,4,4,3,0,7
1,12,2,12,0,1,0,0,51,50,12,14,2,1,17
0,2,0,2,0,1,0,0,8,9,2,1,1,0,2
1,5,0,8,0,0,0,0,22,31,2,3,0,0,3
0,3,0,2,0,0,0,0,8,11,2,0,0,0,0
4,29,2,22,0,0,0,0,111,125,16,15,10,2,27
0,2,0,2,0,0,0,0,22,22,1,3,0,0,3
0,1,0,0,0,0,0,0,8,6,1,2,0,0,2
1,1,0,0,0,0,0,0,7,6,1,1,1,0,2
0,3,0,2,0,0,0,0,8,10,3,0,0,0,0
4,27,0,29,0,1,0,0,89,104,27,15,3,1,19
2,3,0,3,0,0,0,0,8,11,3,2,0,0,2
1,9,1,2,0,0,0,0,21,25,6,3,0,0,3
1,11,0,3,0,0,0,0,8,18,3,2,0,0,2
9,16,0,9,0,0,0,0,42,55,12,7,2,0,9
1,2,0,5,0,0,0,0,8,13,2,1,0,0,1
8,27,1,39,1,1,0,0,70,104,29,12,1,1,14
2,0,0,3,0,0,0,0,4,7,1,0,1,0,1
2,6,1,5,0,1,0,0,19,24,7,3,0,0,3
1,15,1,19,0,0,0,0,47,61,15,6,1,0,7
0,4,0,11,0,0,0,0,11,23,2,1,0,0,1
1,11,2,2,1,0,0,0,9,15,8,3,0,0,3
21,95,3,83,0,4,0,1,205,286,69,47,9,1,57
5,13,0,17,0,0,0,0,31,45,12,8,1,0,9
3,10,2,14,1,1,0,0,24,39,7,6,3,0,9
2,25,2,20,0,1,0,0,28,61,9,5,3,0,8
0,2,0,5,0,0,0,0,9,12,1,3,0,0,3
7,69,1,30,1,0,0,0,51,108,28,20,3,0,23
8,32,1,35,0,1,0,0,57,104,18,8,3,1,12
0,4,1,1,0,0,0,0,17,15,5,3,0,0,3
1,9,1,6,0,0,0,0,11,21,7,0,0,0,0
15,71,3,41,0,2,1,0,79,148,34,22,6,2,30
11,46,1,28,0,3,0,0,66,119,16,16,3,1,20
4,26,0,23,0,1,0,0,57,81,19,11,0,0,11
0,17,0,20,0,0,0,0,42,61,11,6,1,0,7
2,17,0,20,0,0,0,0,48,64,12,11,0,0,11
0,5,0,0,0,0,0,0,10,13,1,1,0,0,1
7,122,0,71,0,4,0,0,114,234,56,25,3,0,28
4,179,0,62,0,0,0,0,67,223,60,25,4,0,29
4,123,0,34,1,3,0,0,35,138,38,18,5,1,24
10,249,2,64,0,4,1,0,86,272,101,32,9,2,43
8,120,1,53,0,6,0,0,88,211,46,16,3,0,19
3,34,0,34,1,1,0,0,42,84,20,11,0,0,11
2,45,0,41,0,0,0,0,38,103,14,9,0,0,9
10,186,3,72,0,2,0,0,83,266,65,18,5,2,25
9,106,0,44,1,0,0,0,66,168,40,15,3,0,18
8,86,1,36,0,1,0,0,47,139,32,5,3,0,8
2,44,1,11,0,0,0,0,21,65,10,4,0,0,4
1,55,1,28,0,1,0,0,31,93,22,2,0,0,2
6,70,1,65,1,0,0,0,42,140,31,13,1,0,14
3,96,0,34,0,1,0,0,36,136,26,7,1,0,8
8,240,0,60,0,1,0,0,48,267,63,25,1,1,27
8,134,1,46,0,2,0,0,47,189,42,5,1,1,7
7,115,2,37,0,1,0,0,50,162,44,5,1,0,6
19,339,1,65,0,1,0,0,72,370,90,36,1,0,37
9,284,0,74,0,4,0,0,74,339,84,19,3,0,22
5,53,0,21,0,0,0,0,20,68,26,5,0,0,5
1,68,0,18,0,0,0,0,23,88,18,4,0,0,4
9,179,3,47,0,1,0,0,58,221,58,15,2,1,18
8,261,0,53,0,1,0,0,47,281,67,19,2,1,22
2,39,0,12,0,1,0,0,6,48,10,2,0,0,2
1,19,0,2,0,0,0,0,8,21,6,3,0,0,3
4,35,0,10,0,0,0,0,18,49,13,4,1,0,5
4,198,1,62,0,0,0,0,55,249,56,13,1,1,15
11,70,0,85,2,0,0,0,92,200,43,15,2,0,17
4,26,0,20,0,0,0,0,19,46,16,6,1,0,7
4,10,1,12,0,0,0,0,16,35,5,2,1,0,3
0,12,1,7,1,0,0,0,13,29,3,2,0,0,2
4,21,1,9,0,0,0,0,13,34,10,2,2,0,4
2,26,0,11,0,0,0,0,12,38,8,4,1,0,5
6,36,1,31,1,0,0,0,41,85,14,14,3,0,17
5,70,0,26,0,2,0,0,26,105,21,2,1,0,3
2,84,1,44,0,0,0,0,81,164,39,7,2,0,9
3,29,0,8,0,0,0,0,15,42,10,3,0,0,3
7,95,0,23,1,1,0,0,35,125,26,9,2,0,11
4,82,0,27,1,1,0,0,29,98,31,13,2,0,15
8,112,0,48,0,0,0,0,70,178,37,23,0,0,23
4,41,0,27,0,0,0,0,25,66,22,7,1,1,9
4,55,2,36,0,0,0,1,62,124,22,10,4,0,14
1,24,0,22,0,1,0,0,23,57,9,3,1,1,5
2,6,0,8,0,0,0,0,16,23,8,1,0,0,1
0,16,0,6,0,0,0,0,5,19,6,2,0,0,2
6,55,0,26,0,1,0,0,19,81,18,6,2,0,8
1,76,0,38,0,0,0,0,33,110,31,7,0,0,7
16,236,1,72,0,2,0,0,132,343,80,29,6,1,36
2,28,0,18,0,0,0,0,24,54,11,5,2,0,7
2,18,1,7,0,0,0,0,22,42,5,3,0,0,3
0,13,0,5,0,0,0,0,11,24,3,2,0,0,2
0,10,0,3,0,0,0,0,3,12,3,1,0,0,1
0,12,0,6,0,1,0,0,12,20,8,2,1,0,3
0,15,0,3,0,0,0,0,7,22,1,2,0,0,2
2,110,0,47,0,0,0,0,62,164,39,12,5,1,18
2,40,0,23,0,0,0,0,25,71,15,3,0,1,4
6,164,1,57,0,1,0,2,58,209,63,17,0,0,17
1,41,0,16,0,0,0,0,14,60,9,3,0,0,3
0,72,0,13,0,0,0,0,14,70,20,8,1,0,9
0,58,0,16,0,0,0,0,22,66,20,9,1,0,10
2,93,0,32,1,1,0,0,53,138,34,7,2,1,10
2,52,0,14,0,0,0,0,34,75,23,1,2,1,4
1,27,0,7,0,0,1,0,14,41,6,1,2,0,3
1,22,0,3,0,1,0,0,24,38,8,4,1,0,5
