INT_ID,Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Sev_4-5,Sev_3-5
1679,3,24,0,0,0,0,0,0,1,22,3,3,0,0,0,3
1680,6,22,1,0,0,1,0,0,5,21,8,6,0,0,0,6
1681,45,19,7,5,5,0,0,0,4,45,24,13,2,1,3,16
1682,18,10,3,1,2,0,0,0,3,15,9,10,3,0,3,13
1683,9,2,2,0,0,1,0,0,1,10,3,2,0,0,0,2
1684,2,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0
1685,3,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0
1686,11,9,2,2,1,0,0,0,3,18,5,4,1,0,1,5
1687,25,25,3,3,1,0,0,0,3,48,7,5,0,0,0,5
1688,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
1689,12,51,3,7,2,0,0,1,1,54,10,12,1,0,1,13
1690,11,10,3,0,0,1,0,0,0,14,5,3,3,0,3,6
1691,10,13,0,3,1,0,0,0,0,22,1,3,1,0,1,4
1692,32,14,4,0,3,1,0,0,4,33,10,14,1,0,1,15
1693,10,7,2,1,0,0,0,0,4,17,4,2,1,0,1,3
1694,45,36,4,4,3,1,0,0,2,51,26,15,3,0,3,18
1695,15,4,2,0,0,0,0,0,0,8,4,7,2,0,2,9
1696,24,21,4,2,4,0,0,0,4,33,16,10,0,0,0,10
1697,18,21,4,2,3,0,0,0,4,34,10,7,1,0,1,8
1698,41,27,2,6,4,1,0,0,2,48,17,15,3,0,3,18
1699,7,2,0,1,0,0,0,0,1,4,2,5,0,0,0,5
1700,50,32,5,4,5,0,0,0,1,61,19,15,2,0,2,17
1701,14,9,0,0,5,0,0,0,3,13,10,6,2,0,2,8
1702,13,44,2,4,1,0,0,0,7,41,17,9,4,0,4,13
1703,4,9,1,0,0,0,0,0,4,7,5,5,1,0,1,6
1704,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1705,12,7,2,0,0,0,0,0,2,15,4,4,0,0,0,4
1706,21,8,1,1,2,0,0,0,5,19,7,11,1,0,1,12
1707,5,6,1,0,0,0,0,0,1,10,1,1,1,0,1,2
1708,16,17,1,2,1,0,0,0,1,22,11,5,0,0,0,5
1709,30,11,4,0,0,1,0,0,1,21,14,10,1,1,2,12
1710,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1711,26,42,1,6,2,0,1,0,4,49,20,13,0,0,0,13
1713,4,10,0,0,2,0,0,0,1,11,4,2,0,0,0,2
1714,30,21,4,4,6,0,0,0,4,34,18,13,4,0,4,17
1715,12,58,1,6,1,0,0,0,1,61,13,5,0,0,0,5
1716,26,27,1,4,1,0,0,0,2,37,13,11,0,0,0,11
1717,5,3,2,0,0,0,0,0,0,9,1,0,0,0,0,0
1718,6,0,2,0,1,0,0,0,2,5,1,5,0,0,0,5
1720,19,16,2,7,1,1,1,0,2,32,10,6,1,0,1,7
1722,29,7,0,1,1,0,0,0,0,22,9,7,0,0,0,7
1723,1,4,0,0,0,0,0,0,1,3,3,0,0,0,0,0
1724,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1725,3,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
1726,20,3,2,0,0,0,0,0,2,22,3,2,0,0,0,2
1728,22,9,0,1,1,0,0,0,4,15,8,10,4,0,4,14
1729,21,9,3,2,2,1,0,0,3,23,10,8,0,0,0,8
1730,27,4,2,0,4,0,0,0,0,22,8,7,0,0,0,7
1731,26,5,2,3,0,0,0,0,4,18,7,13,1,1,2,15
1732,11,15,1,1,0,0,0,0,3,16,11,4,0,0,0,4
1733,49,25,6,2,1,0,0,0,1,37,19,23,5,0,5,28
1735,3,6,1,0,0,0,0,0,1,7,2,2,0,0,0,2
1736,12,1,1,1,0,0,0,0,4,8,6,4,1,0,1,5
1737,13,5,4,1,0,0,0,0,2,9,9,3,2,2,4,7
1738,5,1,0,0,0,0,0,0,0,2,3,1,0,0,0,1
1739,4,8,1,0,0,0,0,0,3,9,5,2,0,0,0,2
1740,30,31,6,1,1,1,0,0,3,50,16,5,2,0,2,7
1741,0,2,0,0,1,0,0,0,1,4,0,0,0,0,0,0
1742,7,24,0,0,0,0,0,0,1,13,14,4,1,0,1,5
1743,16,9,3,1,0,1,0,0,4,23,5,5,1,0,1,6
1744,9,11,2,2,0,1,0,0,4,22,5,2,0,0,0,2
1745,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1
1746,10,11,1,0,0,0,0,0,6,15,7,6,0,0,0,6
1747,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
1748,1,0,0,2,0,0,0,0,1,2,0,2,0,0,0,2
1749,34,14,1,4,1,1,0,0,6,32,13,13,2,1,3,16
1750,19,5,2,1,3,1,0,0,6,19,9,8,1,0,1,9
1751,4,3,0,0,0,0,0,0,1,3,3,2,0,0,0,2
1752,5,0,0,0,0,0,0,0,2,4,0,1,2,0,2,3
1753,4,1,1,0,0,1,0,0,0,3,2,1,1,0,1,2
1754,27,5,3,0,2,1,0,0,5,19,9,12,3,0,3,15
1755,7,2,0,0,0,1,0,0,0,7,1,2,0,0,0,2
1756,10,0,0,0,0,0,0,0,1,6,1,3,1,0,1,4
1757,21,1,2,3,0,1,0,0,3,18,3,8,2,0,2,10
1758,31,8,0,5,0,0,0,0,1,26,13,6,0,0,0,6
1759,7,2,0,0,1,0,0,0,3,9,1,2,1,0,1,3
1760,16,2,0,0,0,0,0,0,0,8,5,5,0,0,0,5
1761,11,4,1,1,0,1,0,0,0,8,4,5,1,0,1,6
1762,13,3,1,0,1,0,0,0,9,8,5,9,4,1,5,14
1763,1,2,0,1,0,0,0,0,0,3,0,1,0,0,0,1
1764,6,10,1,0,0,1,0,0,5,10,7,5,1,0,1,6
1765,6,5,1,0,0,2,0,0,0,7,3,4,0,0,0,4
1766,5,5,0,4,0,0,0,0,5,12,2,4,1,0,1,5
1767,2,5,0,0,0,0,0,0,1,5,2,1,0,0,0,1
1769,22,13,2,4,0,0,0,0,4,27,9,8,1,0,1,9
1772,3,0,1,0,0,1,0,0,2,6,0,0,1,0,1,1
1773,21,5,0,1,1,0,0,0,4,11,10,9,1,1,2,11
1774,27,15,3,0,2,1,0,0,8,27,16,13,0,0,0,13
1775,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,1
1776,4,2,0,1,0,0,0,0,0,5,1,1,0,0,0,1
1777,7,9,0,1,0,0,0,0,1,11,3,4,0,0,0,4
1778,6,5,2,0,0,0,0,0,4,8,5,4,0,0,0,4
1779,8,5,0,0,0,0,0,0,2,7,5,2,1,0,1,3
1780,4,4,0,0,0,0,0,0,2,7,2,1,0,0,0,1
1781,7,5,0,0,0,0,0,1,3,6,7,3,0,0,0,3
1782,5,6,0,0,0,1,0,0,3,7,4,3,0,1,1,4
1783,17,7,0,0,0,0,0,0,2,15,4,7,0,0,0,7
1784,13,21,0,3,1,0,0,0,4,33,4,3,2,0,2,5
1785,8,9,0,1,3,1,0,0,1,14,7,2,0,0,0,2
1786,2,0,0,1,0,0,0,0,2,3,0,2,0,0,0,2
1787,18,7,1,1,0,1,1,0,3,22,5,4,1,0,1,5
1788,25,4,0,0,1,0,0,0,0,16,2,11,1,0,1,12
1789,32,6,1,1,0,0,0,0,9,15,17,16,1,0,1,17
1790,43,23,2,2,1,2,0,0,3,38,20,16,2,0,2,18
1791,39,15,4,3,1,0,0,0,8,43,15,11,1,0,1,12
1792,5,4,0,0,0,0,0,0,0,3,2,3,1,0,1,4
1793,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1794,12,8,0,0,0,0,0,0,6,10,8,8,0,0,0,8
1795,26,7,0,0,0,0,0,0,4,13,12,11,1,0,1,12
1796,2,1,0,1,0,0,0,0,0,1,1,2,0,0,0,2
1797,35,14,2,0,1,0,0,0,6,33,10,12,2,1,3,15
1798,6,5,0,1,0,0,0,0,2,8,4,1,1,0,1,2
1799,40,11,3,0,0,0,0,0,2,30,9,16,1,0,1,17
1800,11,3,0,0,1,0,0,0,1,12,3,1,0,0,0,1
1801,84,28,3,3,2,0,0,0,6,61,36,23,6,0,6,29
1802,10,3,1,2,0,0,0,0,0,4,7,4,1,0,1,5
1803,13,25,1,3,0,0,0,0,7,25,7,15,2,0,2,17
1804,19,21,2,0,1,0,0,0,1,25,11,5,2,1,3,8
1805,1,9,0,0,0,0,0,0,0,6,0,4,0,0,0,4
1806,35,45,5,4,1,0,0,0,3,54,21,16,1,1,2,18
1807,7,1,0,0,0,0,0,0,2,7,2,1,0,0,0,1
1808,41,22,9,0,1,0,0,0,7,44,18,13,5,0,5,18
1809,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1810,7,4,0,1,0,0,0,0,0,9,3,0,0,0,0,0
1811,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0
1812,14,10,1,1,2,0,0,0,3,21,4,4,2,0,2,6
1813,23,8,1,0,1,1,1,0,7,18,7,14,2,1,3,17
1814,18,12,6,0,0,0,0,0,1,17,12,6,2,0,2,8
1815,3,5,0,0,1,0,0,0,1,7,0,3,0,0,0,3
1816,18,30,1,5,2,0,0,0,7,37,18,7,1,0,1,8
1817,21,6,2,1,0,0,0,0,4,14,7,10,3,0,3,13
1818,11,1,0,1,0,0,0,0,0,5,3,5,0,0,0,5
1819,2,4,0,0,0,0,0,0,0,2,2,2,0,0,0,2
1820,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1821,18,18,3,0,0,1,0,0,4,22,12,9,1,0,1,10
1822,9,6,2,0,1,0,0,0,0,8,3,6,1,0,1,7
1823,15,2,1,0,1,1,0,0,1,7,6,7,1,0,1,8
1824,28,11,1,5,0,0,0,0,0,29,12,4,0,0,0,4
1825,23,31,6,1,1,0,0,0,4,38,20,7,1,0,1,8
1826,18,18,2,0,1,1,0,0,1,17,16,6,1,1,2,8
1827,18,4,2,2,1,0,0,0,1,15,9,4,0,0,0,4
1828,8,10,2,2,0,0,0,0,0,14,6,2,0,0,0,2
1829,11,2,0,0,0,0,0,0,1,4,3,7,0,0,0,7
1830,11,11,1,2,0,0,0,0,0,19,4,2,0,0,0,2
1831,9,6,3,4,1,0,0,0,1,15,8,1,0,0,0,1
1832,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1833,5,10,2,0,0,0,0,0,1,12,5,0,1,0,1,1
1834,2,0,1,0,0,0,0,0,2,1,1,1,1,1,2,3
1836,4,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0
1837,3,0,1,0,1,0,0,0,0,1,1,3,0,0,0,3
1838,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1839,5,5,0,0,0,0,0,0,2,5,6,1,0,0,0,1
1840,29,12,3,3,0,0,0,0,3,30,12,7,1,0,1,8
1841,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1845,49,18,0,0,0,1,0,0,0,43,17,6,2,0,2,8
1846,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1847,23,16,2,0,1,0,0,0,2,30,12,2,0,0,0,2
1849,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1850,10,4,0,0,0,0,0,0,3,9,0,8,0,0,0,8
1851,6,1,0,0,0,0,0,0,0,5,1,1,0,0,0,1
1852,39,30,8,0,6,0,0,0,1,46,15,18,5,0,5,23
1853,36,15,3,19,1,1,0,0,1,53,14,7,2,0,2,9
1854,4,12,1,1,1,0,0,0,2,15,4,2,0,0,0,2
1855,1,0,0,0,0,0,0,0,4,4,0,1,0,0,0,1
1857,3,5,0,2,0,0,0,0,0,5,3,0,0,2,2,2
1858,5,3,0,2,0,0,0,0,1,9,1,1,0,0,0,1
1859,4,0,0,3,0,0,0,0,2,6,1,1,1,0,1,2
1861,2,1,0,0,0,1,0,0,1,3,2,0,0,0,0,0
1862,5,1,1,2,0,0,0,0,3,8,0,3,0,1,1,4
1865,7,8,1,1,0,0,0,0,5,12,8,1,1,0,1,2
1866,1,3,0,2,0,0,0,0,1,6,0,1,0,0,0,1
1867,1,8,0,1,0,0,0,0,1,8,2,1,0,0,0,1
1868,19,27,3,1,1,0,0,0,4,35,13,6,1,0,1,7
1870,12,3,0,1,2,0,0,0,2,10,4,6,0,0,0,6
1871,16,50,0,1,1,0,0,0,2,56,11,3,0,0,0,3
1872,3,8,0,0,0,1,0,0,1,8,2,2,1,0,1,3
1873,13,5,1,4,0,0,0,0,1,15,4,5,0,0,0,5
1874,7,0,0,2,0,0,0,0,1,6,3,1,0,0,0,1
1876,12,6,2,1,0,0,0,0,1,17,5,0,0,0,0,0
1877,2,1,1,0,0,1,0,0,2,5,1,1,0,0,0,1
1878,3,5,0,1,0,0,0,0,0,8,0,1,0,0,0,1
1879,6,2,1,0,1,0,0,0,2,6,3,3,0,0,0,3
1881,3,4,0,1,0,1,0,0,1,6,2,2,0,0,0,2
1884,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1
1885,2,0,0,1,0,0,0,0,2,3,1,1,0,0,0,1
1886,1,0,0,0,0,0,0,0,4,2,2,0,1,0,1,1
1887,3,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0
1888,1,2,0,0,0,0,0,0,3,4,1,1,0,0,0,1
1889,1,0,0,2,0,0,0,0,1,2,1,1,0,0,0,1
